Frequency [MHz],|S0-0| [-],|S1-0| [-],Arg(S0-0) [rad],Arg(S1-0) [rad],Delay 0>0 [s],Delay 0>1 [s],|Z0| [Ohm],Arg(Z0) [rad]
5.460600e+03, 9.134888e-01, 3.876241e-01, -8.637890e-01, 3.336731e-01, 1.590444e-10, 2.756049e-10, 1.079849e+02, -1.452184e+00
5.466400e+03, 9.120433e-01, 3.913278e-01, -8.695850e-01, 3.236294e-01, 1.595920e-10, 2.804480e-10, 1.071580e+02, -1.450709e+00
5.472200e+03, 9.109099e-01, 3.950328e-01, -8.754009e-01, 3.134091e-01, 1.619500e-10, 2.851088e-10, 1.063425e+02, -1.449685e+00
5.478000e+03, 9.100750e-01, 3.987291e-01, -8.813028e-01, 3.030191e-01, 1.659640e-10, 2.893263e-10, 1.055289e+02, -1.449094e+00
5.483800e+03, 9.095183e-01, 4.024059e-01, -8.873509e-01, 2.924753e-01, 1.714996e-10, 2.931901e-10, 1.047091e+02, -1.448909e+00
5.489600e+03, 9.092069e-01, 4.060542e-01, -8.936008e-01, 2.817907e-01, 1.783273e-10, 2.964500e-10, 1.038757e+02, -1.449083e+00
5.495400e+03, 9.091004e-01, 4.096638e-01, -9.000995e-01, 2.709874e-01, 1.861955e-10, 2.990846e-10, 1.030230e+02, -1.449559e+00
5.501200e+03, 9.091530e-01, 4.132279e-01, -9.068849e-01, 2.600880e-01, 1.948785e-10, 3.011729e-10, 1.021463e+02, -1.450272e+00
5.507000e+03, 9.093139e-01, 4.167411e-01, -9.139868e-01, 2.491125e-01, 2.040331e-10, 3.025313e-10, 1.012425e+02, -1.451150e+00
5.512800e+03, 9.095269e-01, 4.201985e-01, -9.214222e-01, 2.380875e-01, 2.133397e-10, 3.032013e-10, 1.003103e+02, -1.452113e+00
5.518600e+03, 9.097366e-01, 4.235976e-01, -9.291969e-01, 2.270381e-01, 2.225635e-10, 3.031982e-10, 9.934993e+01, -1.453085e+00
5.524400e+03, 9.098856e-01, 4.269379e-01, -9.373076e-01, 2.159888e-01, 2.313185e-10, 3.025546e-10, 9.836277e+01, -1.453985e+00
5.530200e+03, 9.099197e-01, 4.302212e-01, -9.457375e-01, 2.049630e-01, 2.393983e-10, 3.012920e-10, 9.735199e+01, -1.454739e+00
5.536000e+03, 9.097911e-01, 4.334487e-01, -9.544617e-01, 1.939831e-01, 2.464967e-10, 2.994824e-10, 9.632161e+01, -1.455282e+00
5.541800e+03, 9.094512e-01, 4.366262e-01, -9.634447e-01, 1.830693e-01, 2.524978e-10, 2.971698e-10, 9.527675e+01, -1.455551e+00
5.547600e+03, 9.088629e-01, 4.397579e-01, -9.726463e-01, 1.722397e-01, 2.570765e-10, 2.944506e-10, 9.422283e+01, -1.455496e+00
5.553400e+03, 9.079962e-01, 4.428514e-01, -9.820148e-01, 1.615091e-01, 2.602211e-10, 2.914333e-10, 9.316635e+01, -1.455078e+00
5.559200e+03, 9.068277e-01, 4.459165e-01, -9.914979e-01, 1.508886e-01, 2.617599e-10, 2.881841e-10, 9.211344e+01, -1.454270e+00
5.565000e+03, 9.053457e-01, 4.489609e-01, -1.001037e+00, 1.403865e-01, 2.617026e-10, 2.848297e-10, 9.107059e+01, -1.453055e+00
5.570800e+03, 9.035456e-01, 4.519964e-01, -1.010574e+00, 1.300066e-01, 2.600113e-10, 2.814706e-10, 9.004382e+01, -1.451430e+00
5.576600e+03, 9.014345e-01, 4.550327e-01, -1.020050e+00, 1.197491e-01, 2.567707e-10, 2.782379e-10, 8.903896e+01, -1.449403e+00
5.582400e+03, 8.990289e-01, 4.580810e-01, -1.029407e+00, 1.096094e-01, 2.520261e-10, 2.752183e-10, 8.806113e+01, -1.446996e+00
5.588200e+03, 8.963522e-01, 4.611515e-01, -1.038591e+00, 9.957975e-02, 2.459538e-10, 2.725462e-10, 8.711499e+01, -1.444238e+00
5.594000e+03, 8.934386e-01, 4.642553e-01, -1.047555e+00, 8.964750e-02, 2.387840e-10, 2.702952e-10, 8.620431e+01, -1.441170e+00
5.599800e+03, 8.903261e-01, 4.674003e-01, -1.056257e+00, 7.979727e-02, 2.305860e-10, 2.685738e-10, 8.533185e+01, -1.437839e+00
5.605600e+03, 8.870612e-01, 4.705958e-01, -1.064660e+00, 7.000978e-02, 2.217740e-10, 2.674374e-10, 8.450001e+01, -1.434302e+00
5.611400e+03, 8.836939e-01, 4.738472e-01, -1.072742e+00, 6.026369e-02, 2.125310e-10, 2.669475e-10, 8.370968e+01, -1.430620e+00
