net,x1,y1,x2,y2,width
I2C_SDA,1406.758,1616.089,1420,1629.331,5
I2C_SCL,1397.758,1637.758,1420,1660,5
BMS_RST,383.183,344.584,383.638,344.129,5
BMS_RST,383.183,344.584,383.183,1423.314,5
TEMP_EXT1,1430,2050,1432.52,2052.52,10
TEMP_EXT1,1430,1857.716,1430,2050,10
TEMP_EXT2,1599.661,2461.353,1599.662,2461.352,10
TEMP_EXT3,1595.054,2865.578,1599.662,2870.186,10
UART1_TXD,1288.115,3192.842,1295.552,3200.278,10
CLKSIM,1167.071,2800,1170,2797.071,5
CLKSIM,1170,2575.084,1170,2797.071,5
RSTSIM,1161,2578.811,1161,2760,5
RSTSIM,1156.61,2537.987,1156.61,2574.421,5
RSTSIM,1161,1018.893,1161,2533.597,5
CLKSIM,1165.61,2541.715,1170,2537.324,5
CLKSIM,1165.61,2570.693,1170,2575.084,5
CLKSIM,1170,1221.685,1170,2537.324,5
RSTSIM,1156.61,2574.421,1161,2578.811,5
CLKSIM,1165.61,2541.715,1165.61,2570.693,5
RSTSIM,1156.61,2537.987,1161,2533.597,5
MODEM_VCC,1258.858,1302.769,1258.858,2250.613,10
MODEM_VCC,1250,2259.471,1258.858,2250.613,10
MODEM_VCC,1226.563,1192.899,1226.563,1201.183,10
MODEM_VCC,1208.694,1252.604,1258.858,1302.769,10
MODEM_VCC,1250,2259.471,1250,2663.604,10
MODEM_VCC,1220.806,1187.142,1226.563,1192.899,10
MODEM_VCC,1208.694,1219.053,1208.694,1252.604,10
MODEM_VCC,1208.694,1219.053,1226.563,1201.183,10
eSIM_VCC,1099.432,582.933,1099.432,1047.639,5
eSIM_VCC,1067.918,1051.597,1095.474,1051.597,5
MODEM_VCC,1220.806,1160,1220.806,1187.142,5
MODE_CONFIG,1249.194,1038.978,1249.194,1235.829,10
VSYS,1537.315,744.755,1593.443,688.627,10
VSYS,1593.443,546.17,1593.443,688.627,10
I2C_SDA,1760,1916.7,1826.7,1850,10
I2C_SDA,1826.7,1671.994,1826.7,1850,10
I2C_SDA,1778.32,2268.24,1778.32,2268.284,10
I2C_SDA,1760,2249.92,1778.32,2268.24,10
I2C_SDA,1760,1916.7,1760,2249.92,10
I2C_SDA,1049.587,2242.801,1062.728,2242.801,5
I2C_SDA,1062.728,2242.801,1077.844,2227.686,5
I2C_SDA,1077.844,1986.828,1077.844,2227.686,5
I2C_SDA,1047.154,2245.235,1049.587,2242.801,5
I2C_SDA,1077.844,1986.828,1079.414,1985.256,5
I2C_SCL,1780,1920.15,1876.304,1823.846,10
I2C_SCL,1876.304,1678.378,1876.304,1823.846,10
I2C_SCL,1778.858,2234.722,1780,2233.58,10
I2C_SCL,1780,1920.15,1780,2233.58,10
I2C_SCL,1210,1660.669,1211.378,1662.047,5
I2C_SCL,1054.474,1967.066,1054.474,2203.653,5
I2C_SCL,1049.676,2208.451,1054.474,2203.653,5
I2C_SCL,1047.243,2222.518,1049.676,2220.085,5
I2C_SCL,1049.676,2208.451,1049.676,2220.085,5
NetC32_2,802.763,1042.808,804.58,1044.624,5
NetC32_2,803.587,1159.096,804.58,1158.104,5
NetC32_2,804.58,1044.624,804.58,1158.104,5
NetC32_2,644.488,1159.822,644.544,1159.766,5
NetC32_2,644.544,1093.176,644.544,1159.766,5
NetC32_2,644.544,1093.176,644.6,1093.12,5
NetC31_2,946.543,1214.081,971.27,1214.081,5
NetC31_2,971.27,1214.081,1011.378,1173.974,5
SCLK,604.184,1311.038,647.236,1311.038,5
INT_ACCEL2,986.8,2126.602,987.442,2127.244,5
INT_ACCEL2,986.158,1898.938,986.8,1899.58,5
INT_ACCEL2,986.8,1899.58,986.8,2126.602,5
RSTSIM,1160.707,1018.6,1161,1018.893,5
NetC31_2,872.546,949.653,879.359,956.465,5
NetC31_2,879.359,956.465,879.359,1146.897,5
NetC31_2,872.546,947.178,872.546,949.653,5
NetR18_2,839.83,987.238,850.344,997.753,5
NetR18_2,839.83,947.178,839.83,987.238,5
DATSIM,823.471,932.069,826.866,928.674,5
NetC31_2,879.359,1146.897,946.543,1214.081,5
NetC30_2,895.717,1124.715,938.47,1167.467,5
NetC30_2,944.14,1171.49,947.582,1171.49,5
NetC30_2,938.47,1167.467,940.118,1167.467,5
NetC30_2,940.118,1167.467,944.14,1171.49,5
NetC30_2,895.717,836.525,895.717,1124.715,5
NetC30_2,637.243,853.858,637.243,900.361,5
NetC30_2,637.243,900.361,679.252,942.37,5
NetC30_2,895.717,836.525,895.841,836.401,5
RSTSIM,946,1019.871,947.39,1021.261,5
RSTSIM,946,806.154,946,1019.871,5
RSTSIM,946,806.154,947.899,804.255,5
CLKSIM,1010.973,918.171,1012.722,916.422,5
CLKSIM,1010.973,918.171,1010.973,1040.028,5
CLKSIM,1010.973,1040.028,1011.268,1040.322,5
NetU11_7,920,720,920,881.157,5
NetU11_7,920,881.157,920.969,882.126,5
CLKSIM,1170,1221.685,1193.52,1198.164,5
CLKSIM,1193.52,1040.711,1193.52,1198.164,5
DATSIM,863,1193.911,883.492,1214.403,5
DATSIM,863,1037.301,863,1193.911,5
eSIM_VCC,780.88,585.862,782.393,587.375,5
NetU11_3,856.188,718.858,856.823,719.493,5
SS,534.296,1531.956,535.138,1531.114,5
INT_ACCEL1,944.913,1888.507,944.913,2298.283,5
INT_ACCEL1,944.913,1888.507,946.63,1886.79,5
INT_ACCEL1,943.195,2300,944.913,2298.283,5
SS,747.56,1699.312,765.586,1681.286,5
