f_Hz,ReZ_ohm,ImZ_ohm
1.762650000000000000e+08,4.166776395202079208e-02,-6.408345751868136375e-01
1.770000000000000000e+08,4.096677394723888255e-02,-6.345263048760723112e-01
1.777350000000000000e+08,3.987742038279147583e-02,-6.288238453946800588e-01
1.784700000000000000e+08,3.806251953667048882e-02,-6.234275343043435003e-01
1.792050000000000000e+08,3.541204163173926334e-02,-6.178899035280138730e-01
1.799400000000000000e+08,3.208718736863674925e-02,-6.117692999142206878e-01
1.806750000000000000e+08,2.847051166766198516e-02,-6.047810867736569396e-01
1.814100000000000000e+08,2.504016230936560380e-02,-5.968940748602574731e-01
1.821450000000000000e+08,2.221258005621570136e-02,-5.883393568130275142e-01
1.828800000000000000e+08,2.020852860650936347e-02,-5.795295789693692967e-01
1.836150000000000000e+08,1.898857121618838933e-02,-5.709179055837367844e-01
1.843500000000000000e+08,1.827938806205307160e-02,-5.628466424635225618e-01
1.850850000000000000e+08,1.768034477936038587e-02,-5.554386456968372077e-01
1.858200000000000000e+08,1.681154209805106950e-02,-5.485692283975646122e-01
1.865550000000000000e+08,1.544999788786025063e-02,-5.419275671350486379e-01
1.872900000000000000e+08,1.360491712104923943e-02,-5.351445385621691475e-01
1.880250000000000000e+08,1.150495391503646679e-02,-5.279398738705799454e-01
1.887600000000000000e+08,9.502315306493501479e-03,-5.202343189017383240e-01
1.894950000000000000e+08,7.929005435489962922e-03,-5.121849699737247574e-01
1.902300000000000000e+08,6.958368620945269527e-03,-5.041297489567894141e-01
1.909650000000000000e+08,6.523833584618408954e-03,-4.964601159172105094e-01
1.917000000000000000e+08,6.326742878959153507e-03,-4.894677501517545326e-01
1.924350000000000000e+08,5.933315034179060393e-03,-4.832215480833016441e-01
1.931700000000000000e+08,4.928194180461154157e-03,-4.775218788864528663e-01
1.939050000000000000e+08,3.070217458468203157e-03,-4.719524326204699860e-01
1.946400000000000000e+08,3.931254489471025038e-04,-4.660151160646631152e-01
1.953750000000000000e+08,-2.788278747080802106e-03,-4.593025676600107632e-01
1.961100000000000000e+08,-5.973237888907720165e-03,-4.516473599770204350e-01
1.968450000000000000e+08,-8.641810192765140425e-03,-4.431929974277475370e-01
1.975800000000000000e+08,-1.043690341322274159e-02,-4.343577707118485010e-01
1.983150000000000000e+08,-1.129768925982588441e-02,-4.256994936196283885e-01
1.990500000000000000e+08,-1.149525902420276205e-02,-4.177242933868844932e-01
1.997850000000000000e+08,-1.155362221368577171e-02,-4.107037801499500151e-01
2.005200000000000000e+08,-1.207826401704717272e-02,-4.045645604345590729e-01
2.012550000000000000e+08,-1.354736782020327795e-02,-3.988916492044459194e-01
2.019900000000000000e+08,-1.613596756151271933e-02,-3.930496827276321326e-01
2.027250000000000000e+08,-1.963467542932796281e-02,-3.863853251979964543e-01
2.034600000000000000e+08,-2.349422829734150106e-02,-3.784450125842223067e-01
2.041950000000000000e+08,-2.698489171885950708e-02,-3.691349642872368553e-01
2.049300000000000000e+08,-2.942040416994524954e-02,-3.587683225702784640e-01
2.056650000000000000e+08,-3.037346428847498628e-02,-3.479813763190723885e-01
2.064000000000000000e+08,-2.981159124987779394e-02,-3.375443559088732726e-01
2.071350000000000000e+08,-2.810781013592254449e-02,-3.281275726554769290e-01
2.078700000000000000e+08,-2.592150506596864815e-02,-3.200991003605329621e-01
2.086050000000000000e+08,-2.398766606403032048e-02,-3.134206393408750513e-01
2.093400000000000000e+08,-2.288364619105052664e-02,-3.076764100498368681e-01
2.100750000000000000e+08,-2.285090472774660778e-02,-3.022258661366755139e-01
2.108100000000000000e+08,-2.373152316433711773e-02,-2.964292186912725335e-01
2.115450000000000000e+08,-2.504088713456485704e-02,-2.898697024690287671e-01
2.122800000000000000e+08,-2.615179791390943864e-02,-2.824972873835617238e-01
2.130150000000000000e+08,-2.652747012887499145e-02,-2.746450989045842173e-01
2.137500000000000000e+08,-2.592444908871602977e-02,-2.669128566020426141e-01
2.144850000000000000e+08,-2.449673822519029404e-02,-2.599562940744515882e-01
2.152200000000000000e+08,-2.276547245669848993e-02,-2.542528708259186310e-01
2.159550000000000000e+08,-2.146314121204110151e-02,-2.499220552995433942e-01
