f_Hz,ReZ11,ImZ11,ReZ21,ImZ21,ReZ22,ImZ22,ReZ12,ImZ12
8.105700000000000000e+08,3.743727337180533521e-01,1.281249019888651697e+00,-1.701412771334652740e-01,1.153811071326522608e+00,1.894405406071427433e-01,-1.995713869336088186e-01,-1.731657094044564138e-01,1.144996727927348745e+00
8.113050000000000000e+08,3.662148897582180873e-01,1.304367198272915918e+00,-1.625645390844287219e-01,1.140902909680741928e+00,1.820109257897281341e-01,-1.841269805244792335e-01,-1.658293560245289733e-01,1.132050804974132463e+00
8.120400000000000000e+08,3.578325969586849675e-01,1.329568424994235665e+00,-1.557000083783768862e-01,1.127117887014742248e+00,1.753271716291456839e-01,-1.678720702440181511e-01,-1.591651592196587917e-01,1.118271739463097658e+00
8.127750000000000000e+08,3.496991836679788634e-01,1.356893685882712530e+00,-1.497647579922615768e-01,1.112640413527964389e+00,1.695912800438564849e-01,-1.509961335919747238e-01,-1.533808278377200296e-01,1.103831695385539602e+00
8.135100000000000000e+08,3.422827590437783063e-01,1.386276214103142168e+00,-1.449241761117880667e-01,1.097698685800633678e+00,1.649531117976480998e-01,-1.337289250278336228e-01,-1.486359108898863135e-01,1.088944888418814649e+00
8.142450000000000000e+08,3.360220782762968206e-01,1.417545720305756873e+00,-1.412838777480269759e-01,1.082551052912867462e+00,1.615030494605668165e-01,-1.163269647036219712e-01,-1.450339363880264187e-01,1.073854973539416058e+00
8.149800000000000000e+08,3.313040785062435489e-01,1.450437884068824568e+00,-1.388850780552157715e-01,1.067471083394684772e+00,1.592680211284147607e-01,-9.905885260288539718e-02,-1.426177129321165582e-01,1.058821111467348475e+00
8.157150000000000000e+08,3.284441815071399429e-01,1.484608555410466657e+00,-1.377035652091152806e-01,1.052732179650267330e+00,1.582110226122286079e-01,-8.219020944483029778e-02,-1.413679708418470182e-01,1.044103473198507936e+00
8.164500000000000000e+08,3.276702926980589181e-01,1.519651907525664480e+00,-1.376522143087149930e-01,1.038592570994826492e+00,1.582340953877285628e-01,-6.596904495379206368e-02,-1.412053476921204254e-01,1.029948950977235933e+00
8.171850000000000000e+08,3.291112295503805796e-01,1.555121621232783635e+00,-1.385868050324276790e-01,1.025281459838351505e+00,1.591845443773582669e-01,-5.061231648981639325e-02,-1.419955561080525064e-01,1.016577817885666146e+00
8.179200000000000000e+08,3.327900979436087536e-01,1.590554067606070987e+00,-1.403147511571042894e-01,1.012987006064972828e+00,1.608640196762117502e-01,-3.629436924917811558e-02,-1.435574153945259335e-01,1.004172019010337147e+00
8.186550000000000000e+08,3.386229115672905188e-01,1.625492385232685022e+00,-1.426062229741994203e-01,1.001846720350690445e+00,1.630399452502365454e-01,-2.313784630833261302e-02,-1.456732884183880861e-01,9.928656874502960195e-01
8.193900000000000000e+08,3.464225230891473939e-01,1.659510319130907963e+00,-1.452070453675912420e-01,9.919407050376247703e-01,1.654586609118853802e-01,-1.120752627775350660e-02,-1.481013464371297161e-01,9.827383612941369417e-01
8.201250000000000000e+08,3.559077102116383617e-01,1.692234697109614938e+00,-1.478526849310859426e-01,9.832880368086822642e-01,1.678595569309495605e-01,-5.073927307734929981e-04,-1.505889926014331304e-01,9.738112369774466481e-01
8.208600000000000000e+08,3.667170375461575316e-01,1.723365465502245453e+00,-1.502825988468794727e-01,9.758464330580354229e-01,1.699894286092816509e-01,9.018931348306917159e-03,-1.528867148270771914e-01,9.660466352215455466e-01
8.215950000000000000e+08,3.784268995090365184e-01,1.752692290942223785e+00,-1.522542066027897378e-01,9.695151870697049645e-01,1.716162654170764190e-01,1.748443172848700503e-02,-1.547616152221218677e-01,9.593506846770990526e-01
8.223300000000000000e+08,3.905729450873604014e-01,1.780106860615452868e+00,-1.535557639638070460e-01,9.641411994844610867e-01,1.725417187785418804e-01,2.505186318548249802e-02,-1.560098796099417540e-01,9.535790537102035724e-01
8.230650000000000000e+08,4.026739000345493924e-01,1.805610182668431651e+00,-1.540174683619852658e-01,9.595277794796526205e-01,1.726115650160482684e-01,3.192422384089017851e-02,-1.564675082626043046e-01,9.485453921236508545e-01
8.238000000000000000e+08,4.142566465689132005e-01,1.829314401868008311e+00,-1.535202072646674742e-01,9.554457444530829457e-01,1.717235931622894396e-01,3.833309785593240482e-02,-1.560187264552296005e-01,9.440319924480952141e-01
8.245350000000000000e+08,4.248813080917301366e-01,1.851438900368534313e+00,-1.520014762276253317e-01,9.516462192324430802e-01,1.698324959541825385e-01,4.452554220871283996e-02,-1.546016265066929851e-01,9.398020551013239743e-01
8.252700000000000000e+08,4.341650308159545890e-01,1.872300741717678685e+00,-1.494581391823210093e-01,9.478744336247699742e-01,1.669515177772942782e-01,5.075027486984887148e-02,-1.522107541166181910e-01,9.356128523354384496e-01
8.260050000000000000e+08,4.418031681670595567e-01,1.892299824482486015e+00,-1.459458749959297863e-01,9.438837495622837137e-01,1.631508044268739355e-01,5.724395695863958994e-02,-1.488965308856284309e-01,9.312290393180150394e-01
8.267400000000000000e+08,4.475866661667953772e-01,1.911899421159661605e+00,-1.415753430177369154e-01,9.394491243763429811e-01,1.585525933740336568e-01,6.421834745865846739e-02,-1.447615899033191655e-01,9.264353605858042240e-01
8.274750000000000000e+08,4.514146212671577008e-01,1.931603065482529358e+00,-1.365052945174377586e-01,9.343792406374444859e-01,1.533235663993810782e-01,7.184904680672520028e-02,-1.399542794951898206e-01,9.210480464161102665e-01
8.282100000000000000e+08,4.533012308657509704e-01,1.951928992575530097e+00,-1.309330426381637158e-01,9.285266075628224591e-01,1.476648465084313411e-01,8.026644007316512119e-02,-1.346597495115832155e-01,9.149242825594591233e-01
8.289450000000000000e+08,4.533766671576472396e-01,1.973383509139931657e+00,-1.250828659081218430e-01,9.217950615136907278e-01,1.418002476444673032e-01,8.954930982976340437e-02,-1.290891645979808100e-01,9.079692611102462285e-01
8.296800000000000000e+08,4.518817556559978077e-01,1.996434757557774775e+00,-1.191930456945425321e-01,9.141442558796420981e-01,1.359634716146061739e-01,9.972142387792422291e-02,-1.234676821377088396e-01,9.001404704113308286e-01
8.304150000000000000e+08,4.491567039317474475e-01,2.021488328867556472e+00,-1.135023153986584876e-01,9.055909215210050656e-01,1.303849881642610564e-01,1.107512257242949799e-01,-1.180218847358210921e-01,8.914490467599517354e-01
8.311500000000000000e+08,4.456244751369755064e-01,2.048866074825432815e+00,-1.082365223407945054e-01,8.962068826194697913e-01,1.252793311740348081e-01,1.225545779666374763e-01,-1.129673673340770429e-01,8.819581790587150971e-01
8.318850000000000000e+08,4.417697076105356335e-01,2.078789278115538597e+00,-1.035962712382755557e-01,8.861140127253368526e-01,1.208334995673384649e-01,1.350003414145425629e-01,-1.084971494852551704e-01,8.717787190264357777e-01
8.326200000000000000e+08,4.381143243398291642e-01,2.111367079764656207e+00,-9.974623546580814459e-02,8.754764962763407210e-01,1.171970711867999226e-01,1.479184247686778919e-01,-1.047715185526951059e-01,8.610622953627400378e-01
8.333550000000000000e+08,4.351911398884978910e-01,2.146590756992891258e+00,-9.680669810541446541e-02,8.644909089352210696e-01,1.144745286515479327e-01,1.611098176920648106e-01,-1.019098158220833189e-01,8.499923536219573528e-01
8.340900000000000000e+08,4.335168519626899086e-01,2.184334118255434110e+00,-9.484773153659011025e-02,8.533747369197582922e-01,1.127201657747029379e-01,1.743580284811699910e-01,-9.998456169565120288e-02,8.387736399234148044e-01
8.348250000000000000e+08,4.335658028413276188e-01,2.224359958969821971e+00,-9.388625574860039180e-02,8.423540170185953579e-01,1.119357992395350471e-01,1.874412885614374913e-01,-9.901818538278686632e-02,8.276207133950234107e-01
8.355600000000000000e+08,4.357458219425343060e-01,2.266332221151748261e+00,-9.388604496987364156e-02,8.316507957471237500e-01,1.120713602035080386e-01,2.001448603036234120e-01,-9.898248556975394741e-02,8.167461083940195099e-01
8.362950000000000000e+08,4.403773285588390429e-01,2.309833236831507985e+00,-9.476059092784136495e-02,8.214710824211943763e-01,1.130282909881672043e-01,2.122727915717612657e-01,-9.980080766311862084e-02,8.063487732267585750e-01
8.370300000000000000e+08,4.476766983710201986e-01,2.354385216322060881e+00,-9.637858748019625943e-02,8.119939136231817400e-01,1.146655290677489891e-01,2.236584984961587363e-01,-1.013527860260675789e-01,7.966033882694958379e-01
8.377650000000000000e+08,4.577446926771676639e-01,2.399474970226876280e+00,-9.857168068179505971e-02,8.033620634810213490e-01,1.168077297630926575e-01,2.341736250800984243e-01,-1.034813714189553313e-01,7.876511146511988581e-01
8.385000000000000000e+08,4.705605262795390931e-01,2.444580726691154560e+00,-1.011440328383895332e-01,7.956748330299201477e-01,1.192552656339779665e-01,2.437347216216039503e-01,-1.060017496197322301e-01,7.795922471434791889e-01
8.392350000000000000e+08,4.859819157633555320e-01,2.489199819264918290e+00,-1.038831788452335564e-01,7.889832391826391289e-01,1.217954495532531101e-01,2.523074000136565354e-01,-1.087116617928767237e-01,7.724811444459902532e-01
8.399700000000000000e+08,5.037512080169369577e-01,2.532875972757839378e+00,-1.065716070146792288e-01,7.832878044049561561e-01,1.242143645265833818e-01,2.599077582438633072e-01,-1.114025652647624431e-01,7.663236903956875956e-01
8.407050000000000000e+08,5.235074404536693704e-01,2.575224903695784828e+00,-1.089984733302804959e-01,7.785390254430336610e-01,1.263086505841849450e-01,2.666010131337037126e-01,-1.138710292056965001e-01,7.610774056237188390e-01
8.414400000000000000e+08,5.448039301816690605e-01,2.615956980629765560e+00,-1.109708568178738308e-01,7.746404756755560506e-01,1.278966005807701534e-01,2.724974325766753025e-01,-1.159297467710053292e-01,7.566541869315601687e-01
8.421750000000000000e+08,5.671307316513698460e-01,2.654895762836796624e+00,-1.123239845980093937e-01,7.714543728452416538e-01,1.288279540109422139e-01,2.777458081840314952e-01,-1.174175656713265931e-01,7.529255084271876397e-01
8.429100000000000000e+08,5.899410470122267158e-01,2.691991361044297371e+00,-1.129298991308978900e-01,7.688093245518232699e-01,1.289918504335948457e-01,2.825248475438114637e-01,-1.182079932688490376e-01,7.497297823858158905e-01
8.436450000000000000e+08,6.126804313406210012e-01,2.727327747726818963e+00,-1.127041084909942148e-01,7.665098516626783764e-01,1.283225088288735827e-01,2.870329833831498090e-01,-1.182157182539264745e-01,7.468814573297127835e-01
8.443800000000000000e+08,6.348174220247957411e-01,2.761123391505880598e+00,-1.116098540363544556e-01,7.643471900020161192e-01,1.268023306710421849e-01,2.914771866663637967e-01,-1.174008044549472024e-01,7.441813339929483906e-01
8.451150000000000000e+08,6.558740579824753336e-01,2.793724898935361800e+00,-1.096597479020012117e-01,7.621107900906599619e-01,1.244622748410685875e-01,2.960614255256133753e-01,-1.157703467714927964e-01,7.414275134509309417e-01
