        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 4.15000000e-01,        +1.288227394061e-11,        +2.855696540686e-11,        +0.000000000000e+00,        +0.000000000000e+00
 4.20000000e-01,        +1.281707164309e-11,        +2.879896550930e-11,        +0.000000000000e+00,        +0.000000000000e+00
 4.25000000e-01,        +1.276788521012e-11,        +2.905194312878e-11,        +0.000000000000e+00,        +0.000000000000e+00
 4.30000000e-01,        +1.273491503109e-11,        +2.931658994311e-11,        +0.000000000000e+00,        +0.000000000000e+00
 4.35000000e-01,        +1.271843209515e-11,        +2.959365632413e-11,        +0.000000000000e+00,        +0.000000000000e+00
 4.40000000e-01,        +1.271878203669e-11,        +2.988395754872e-11,        +0.000000000000e+00,        +0.000000000000e+00
 4.45000000e-01,        +1.273638999922e-11,        +3.018838080133e-11,        +0.000000000000e+00,        +0.000000000000e+00
 4.50000000e-01,        +1.277176641574e-11,        +3.050789308647e-11,        +0.000000000000e+00,        +0.000000000000e+00
 4.55000000e-01,        +1.282551382353e-11,        +3.084355018993e-11,        +0.000000000000e+00,        +0.000000000000e+00
 4.60000000e-01,        +1.289833485444e-11,        +3.119650685203e-11,        +0.000000000000e+00,        +0.000000000000e+00
 4.65000000e-01,        +1.299104156974e-11,        +3.156802834521e-11,        +0.000000000000e+00,        +0.000000000000e+00
 4.70000000e-01,        +1.310456634178e-11,        +3.195950368384e-11,        +0.000000000000e+00,        +0.000000000000e+00
 4.75000000e-01,        +1.323997452490e-11,        +3.237246073648e-11,        +0.000000000000e+00,        +0.000000000000e+00
 4.80000000e-01,        +1.339847920651e-11,        +3.280858356241e-11,        +0.000000000000e+00,        +0.000000000000e+00
 4.85000000e-01,        +1.358145838796e-11,        +3.326973235739e-11,        +0.000000000000e+00,        +0.000000000000e+00
 4.90000000e-01,        +1.379047501739e-11,        +3.375796647002e-11,        +0.000000000000e+00,        +0.000000000000e+00
 4.95000000e-01,        +1.402730038446e-11,        +3.427557104465e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.00000000e-01,        +1.429394149648e-11,        +3.482508796287e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.05000000e-01,        +1.459267319003e-11,        +3.540935189950e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.10000000e-01,        +1.492607590066e-11,        +3.603153248792e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.15000000e-01,        +1.529708022369e-11,        +3.669518381367e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.20000000e-01,        +1.570901966400e-11,        +3.740430273596e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.25000000e-01,        +1.616569330789e-11,        +3.816339789258e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.30000000e-01,        +1.667144057663e-11,        +3.897757169482e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.35000000e-01,        +1.723123076729e-11,        +3.985261819611e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.40000000e-01,        +1.785077078941e-11,        +4.079514046034e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.45000000e-01,        +1.853663541859e-11,        +4.181269201624e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.50000000e-01,        +1.929642557763e-11,        +4.291394823666e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.55000000e-01,        +2.013896172252e-11,        +4.410891512546e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.60000000e-01,        +2.107452148435e-11,        +4.540918516969e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.65000000e-01,        +2.211513349081e-11,        +4.682825281548e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.70000000e-01,        +2.327494302506e-11,        +4.838190602832e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.75000000e-01,        +2.457067025874e-11,        +5.008871569420e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.80000000e-01,        +2.602218876701e-11,        +5.197065187754e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.85000000e-01,        +2.765326170447e-11,        +5.405386600157e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.90000000e-01,        +2.949248657995e-11,        +5.636969208556e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.95000000e-01,        +3.157451880653e-11,        +5.895594009614e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.00000000e-01,        +3.394167183811e-11,        +6.185858303899e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.05000000e-01,        +3.664603193905e-11,        +6.513398093485e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.10000000e-01,        +3.975228506139e-11,        +6.885184603367e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.15000000e-01,        +4.334154245621e-11,        +7.309924527365e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.20000000e-01,        +4.751658765197e-11,        +7.798607554669e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.25000000e-01,        +5.240917873062e-11,        +8.365266372158e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.30000000e-01,        +5.819037466191e-11,        +9.028048559394e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.35000000e-01,        +6.508539661719e-11,        +9.810755092558e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.40000000e-01,        +7.339543403058e-11,        +1.074509166171e-10,        +0.000000000000e+00,        +0.000000000000e+00
 6.45000000e-01,        +8.353033448638e-11,        +1.187403432623e-10,        +0.000000000000e+00,        +0.000000000000e+00
 6.50000000e-01,        +9.605879377115e-11,        +1.325698232472e-10,        +0.000000000000e+00,        +0.000000000000e+00
 6.55000000e-01,        +1.117874991292e-10,        +1.497785979502e-10,        +0.000000000000e+00,        +0.000000000000e+00
 6.60000000e-01,        +1.318897258251e-10,        +1.715824039421e-10,        +0.000000000000e+00,        +0.000000000000e+00
 6.65000000e-01,        +1.581214722988e-10,        +1.997933707291e-10,        +0.000000000000e+00,        +0.000000000000e+00
 6.70000000e-01,        +1.931988753506e-10,        +2.372027371509e-10,        +0.000000000000e+00,        +0.000000000000e+00
 6.75000000e-01,        +2.414863388992e-10,        +2.882761699087e-10,        +0.000000000000e+00,        +0.000000000000e+00
 6.80000000e-01,        +3.103134305106e-10,        +3.604792218400e-10,        +0.000000000000e+00,        +0.000000000000e+00
 6.85000000e-01,        +4.126320165468e-10,        +4.669397834722e-10,        +0.000000000000e+00,        +0.000000000000e+00
 6.90000000e-01,        +5.726716321790e-10,        +6.320838153704e-10,        +0.000000000000e+00,        +0.000000000000e+00
 6.95000000e-01,        +8.384535340994e-10,        +9.040122488039e-10,        +0.000000000000e+00,        +0.000000000000e+00
 7.00000000e-01,        +1.308524409438e-09,        +1.380588807544e-09,        +0.000000000000e+00,        +0.000000000000e+00
 7.05000000e-01,        +2.166783805521e-09,        +2.241573131081e-09,        +0.000000000000e+00,        +0.000000000000e+00
 7.10000000e-01,        +3.515729655469e-09,        +3.574213206077e-09,        +0.000000000000e+00,        +0.000000000000e+00
 7.15000000e-01,        +4.311388925179e-09,        +4.318005970935e-09,        +0.000000000000e+00,        +0.000000000000e+00
 7.20000000e-01,        +3.312306882253e-09,        +3.276900021590e-09,        +0.000000000000e+00,        +0.000000000000e+00
 7.25000000e-01,        +2.037048522951e-09,        +1.996390857505e-09,        +0.000000000000e+00,        +0.000000000000e+00
 7.30000000e-01,        +1.259371453030e-09,        +1.226356664016e-09,        +0.000000000000e+00,        +0.000000000000e+00
 7.35000000e-01,        +8.300811513693e-10,        +8.056560486445e-10,        +0.000000000000e+00,        +0.000000000000e+00
 7.40000000e-01,        +5.833338005147e-10,        +5.660745272260e-10,        +0.000000000000e+00,        +0.000000000000e+00
 7.45000000e-01,        +4.325229729597e-10,        +4.209567442758e-10,        +0.000000000000e+00,        +0.000000000000e+00
 7.50000000e-01,        +3.350399686598e-10,        +3.280128636252e-10,        +0.000000000000e+00,        +0.000000000000e+00
 7.55000000e-01,        +2.690580935127e-10,        +2.657140701739e-10,        +0.000000000000e+00,        +0.000000000000e+00
