        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 5.00000000e-01,        +1.414213562373e-01,        +4.222876489851e-04,        +9.121748033638e-03
 5.05000000e-01,        +1.414213562373e-01,        +4.406220827044e-04,        +9.341092733411e-03
 5.10000000e-01,        +1.414213562373e-01,        +4.599407323676e-04,        +9.564445443307e-03
 5.15000000e-01,        +1.414213562373e-01,        +4.803220735659e-04,        +9.792134742933e-03
 5.20000000e-01,        +1.414213562373e-01,        +5.018540352753e-04,        +1.002451871189e-02
 5.25000000e-01,        +1.414213562373e-01,        +5.246354134019e-04,        +1.026198876969e-02
 5.30000000e-01,        +1.414213562373e-01,        +5.487775442271e-04,        +1.050497411230e-02
 5.35000000e-01,        +1.414213562373e-01,        +5.744062942611e-04,        +1.075394685822e-02
 5.40000000e-01,        +1.414213562373e-01,        +6.016644373302e-04,        +1.100942804208e-02
 5.45000000e-01,        +1.414213562373e-01,        +6.307145081937e-04,        +1.127199462506e-02
 5.50000000e-01,        +1.414213562373e-01,        +6.617422459962e-04,        +1.154228773097e-02
 5.55000000e-01,        +1.414213562373e-01,        +6.949607722794e-04,        +1.182102236727e-02
 5.60000000e-01,        +1.414213562373e-01,        +7.306156897219e-04,        +1.210899895446e-02
 5.65000000e-01,        +1.414213562373e-01,        +7.689913428701e-04,        +1.240711707018e-02
 5.70000000e-01,        +1.414213562373e-01,        +8.104185560097e-04,        +1.271639192140e-02
 5.75000000e-01,        +1.414213562373e-01,        +8.552842632884e-04,        +1.303797419824e-02
 5.80000000e-01,        +1.414213562373e-01,        +9.040435827707e-04,        +1.337317414692e-02
 5.85000000e-01,        +1.414213562373e-01,        +9.572350745706e-04,        +1.372349094347e-02
 5.90000000e-01,        +1.414213562373e-01,        +1.015500186163e-03,        +1.409064877642e-02
 5.95000000e-01,        +1.414213562373e-01,        +1.079608259112e-03,        +1.447664148695e-02
 6.00000000e-01,        +1.414213562373e-01,        +1.150489001844e-03,        +1.488378821526e-02
 6.05000000e-01,        +1.414213562373e-01,        +1.229275101248e-03,        +1.531480332692e-02
 6.10000000e-01,        +1.414213562373e-01,        +1.317358774379e-03,        +1.577288504010e-02
 6.15000000e-01,        +1.414213562373e-01,        +1.416467745277e-03,        +1.626182878555e-02
 6.20000000e-01,        +1.414213562373e-01,        +1.528768686282e-03,        +1.678617361984e-02
 6.25000000e-01,        +1.414213562373e-01,        +1.657010109085e-03,        +1.735139329937e-02
 6.30000000e-01,        +1.414213562373e-01,        +1.804722907081e-03,        +1.796414839928e-02
 6.35000000e-01,        +1.414213562373e-01,        +1.976506755677e-03,        +1.863262287666e-02
 6.40000000e-01,        +1.414213562373e-01,        +2.178447061616e-03,        +1.936697888440e-02
 6.45000000e-01,        +1.414213562373e-01,        +2.418735017814e-03,        +2.017997919435e-02
 6.50000000e-01,        +1.414213562373e-01,        +2.708611772023e-03,        +2.108784988880e-02
 6.55000000e-01,        +1.414213562373e-01,        +3.063844622960e-03,        +2.211149062272e-02
 6.60000000e-01,        +1.414213562373e-01,        +3.507104468144e-03,        +2.327818975358e-02
 6.65000000e-01,        +1.414213562373e-01,        +4.071924660442e-03,        +2.462406774937e-02
 6.70000000e-01,        +1.414213562373e-01,        +4.809546042720e-03,        +2.619753691199e-02
