f_Hz,ReZ_ohm,ImZ_ohm
2.684000000000000000e+08,8.090393640377613327e-02,-2.209931118792136384e-01
2.693750000000000000e+08,7.392136519878975132e-02,-2.162951244504109083e-01
2.703500000000000000e+08,6.676566286753561619e-02,-2.100728393532791394e-01
2.713250000000000000e+08,5.979709437970485292e-02,-2.023298647779411541e-01
2.723000000000000000e+08,5.336433562498039962e-02,-1.931524476472273599e-01
2.732750000000000000e+08,4.778590607878697299e-02,-1.827042763208406861e-01
2.742500000000000000e+08,4.333339245147635466e-02,-1.712172287769920531e-01
2.752250000000000000e+08,4.021730739761471968e-02,-1.589786157758261709e-01
2.762000000000000000e+08,3.857627130108692848e-02,-1.463156279828386752e-01
2.771750000000000000e+08,3.847002587193509848e-02,-1.335778146957652679e-01
2.781500000000000000e+08,3.987659499672558533e-02,-1.211184994977364676e-01
2.791250000000000000e+08,4.269370830969495406e-02,-1.092760759822391792e-01
2.801000000000000000e+08,4.674440204903813900e-02,-9.835612601304401237e-02
2.810750000000000000e+08,5.178651483053247490e-02,-8.861526467266139795e-02
2.820500000000000000e+08,5.752560798565382882e-02,-8.024754035770803595e-02
2.830250000000000000e+08,6.363066698065288074e-02,-7.337410539612038152e-02
2.840000000000000000e+08,6.975178951732373400e-02,-6.803672268739754947e-02
2.849750000000000000e+08,7.553894602696965832e-02,-6.419548950361135542e-02
2.859500000000000000e+08,8.066081905604345625e-02,-6.173094581540643916e-02
2.869250000000000000e+08,8.482269881500850706e-02,-6.045049994311138541e-02
2.879000000000000000e+08,8.778244032181183043e-02,-6.009886131613777910e-02
2.888750000000000000e+08,8.936357695186079864e-02,-6.037193414714822626e-02
2.898500000000000000e+08,8.946483467610523432e-02,-6.093341421525360485e-02
2.908250000000000000e+08,8.806549394065378566e-02,-6.143316093444866482e-02
2.918000000000000000e+08,8.522628944331571421e-02,-6.152630337494686963e-02
2.927750000000000000e+08,8.108580474232982005e-02,-6.089199240428481985e-02
2.937500000000000000e+08,7.585258859571610002e-02,-5.925073613082436352e-02
2.947250000000000000e+08,6.979347259345480836e-02,-5.637935017120426773e-02
2.957000000000000000e+08,6.321878639654192333e-02,-5.212270932307535437e-02
2.966750000000000000e+08,5.646533320361438874e-02,-4.640168924033512970e-02
2.976500000000000000e+08,4.987809486882988086e-02,-3.921691868796828989e-02
2.986250000000000000e+08,4.379168028945930324e-02,-3.064820692423846082e-02
2.996000000000000000e+08,3.851251467516991073e-02,-2.084974988721540259e-02
3.005750000000000000e+08,3.430269784306377162e-02,-1.004143910601230406e-02
3.015500000000000000e+08,3.136634621951087110e-02,1.503211708351406134e-03
3.025250000000000000e+08,2.983908628923874137e-02,1.347185204484074514e-02
3.035000000000000000e+08,2.978119696781801259e-02,2.553000489005434470e-02
3.044750000000000000e+08,3.117471364327419406e-02,3.733883745355302819e-02
3.054500000000000000e+08,3.392461465734027126e-02,4.857308893227112873e-02
3.064250000000000000e+08,3.786401757527915052e-02,5.893825045965572079e-02
3.074000000000000000e+08,4.276312272739132836e-02,6.818612755590965080e-02
3.083750000000000000e+08,4.834146022381122926e-02,7.612798687568855804e-02
3.093500000000000000e+08,5.428282976341138044e-02,8.264459665101947516e-02
3.103250000000000000e+08,6.025217715539826074e-02,8.769261315133396184e-02
3.113000000000000000e+08,6.591353588642211159e-02,9.130694133624092657e-02
3.122750000000000000e+08,7.094808534178609349e-02,9.359890169812443150e-02
3.132500000000000000e+08,7.507134810868315578e-02,9.475025886338254988e-02
3.142250000000000000e+08,7.804857404211561211e-02,9.500339920443644226e-02
3.152000000000000000e+08,7.970744204085790374e-02,9.464816996201616539e-02
3.161750000000000000e+08,7.994735074296518973e-02,9.400609493614235646e-02
3.171500000000000000e+08,7.874476025484022923e-02,9.341284548042620706e-02
3.181250000000000000e+08,7.615427692209890409e-02,9.319995623128639328e-02
3.191000000000000000e+08,7.230542598656082565e-02,9.367682267159370413e-02
3.200750000000000000e+08,6.739531396935137531e-02,9.511399773903321531e-02
3.210500000000000000e+08,6.167762441941093687e-02,9.772871894098643375e-02
3.220250000000000000e+08,5.544859961205379772e-02,1.016734535325793387e-01
3.230000000000000000e+08,4.903082289179421654e-02,1.070280598644033493e-01
3.239750000000000000e+08,4.275572266347501399e-02,1.137959437787764844e-01
3.249500000000000000e+08,3.694576610971299357e-02,1.219043567932202032e-01
3.259250000000000000e+08,3.189730030334525512e-02,1.312087537384688807e-01
3.269000000000000000e+08,2.786493640005122466e-02,1.415009150520570580e-01
3.278750000000000000e+08,2.504826765398881008e-02,1.525203532288258723e-01
3.288500000000000000e+08,2.358157388078157765e-02,1.639683705609342457e-01
3.298250000000000000e+08,2.352700331327708602e-02,1.755240196250306972e-01
3.308000000000000000e+08,2.487154610924560000e-02,1.868611399793541628e-01
3.317750000000000000e+08,2.752792919425774490e-02,1.976656038251734804e-01
3.327500000000000000e+08,3.133937548693748604e-02,2.076518991047511531e-01
3.337250000000000000e+08,3.608798693249539585e-02,2.165782099384756521e-01
3.347000000000000000e+08,4.150633521292014516e-02,2.242592210679600073e-01
3.356750000000000000e+08,4.729168221871467986e-02,2.305759747518556502e-01
3.366500000000000000e+08,5.312211116753132178e-02,2.354822444388454117e-01
3.376250000000000000e+08,5.867373655947120958e-02,2.390070571119931875e-01
3.386000000000000000e+08,6.363808550260517671e-02,2.412531906835881368e-01
3.395750000000000000e+08,6.773871251070597010e-02,2.423916864304158925e-01
3.405500000000000000e+08,7.074613119175478249e-02,2.426526382343434651e-01
3.415250000000000000e+08,7.249022277622826915e-02,2.423127366460907650e-01
3.425000000000000000e+08,7.286941238018833367e-02,2.416802412049229021e-01
3.434750000000000000e+08,7.185608348883686103e-02,2.410782136900312955e-01
3.444500000000000000e+08,6.949791863415426263e-02,2.408269545856353278e-01
3.454250000000000000e+08,6.591509469313078240e-02,2.412266352384932477e-01
3.464000000000000000e+08,6.129350703996061522e-02,2.425411042995037902e-01
3.473750000000000000e+08,5.587442963856982525e-02,2.449837702058847433e-01
3.483500000000000000e+08,4.994122117608956052e-02,2.487063284853581469e-01
3.493250000000000000e+08,4.380384692163648980e-02,2.537909250726188004e-01
3.503000000000000000e+08,3.778209316119297834e-02,2.602461392790895722e-01
3.512750000000000000e+08,3.218840197873274606e-02,2.680069484398454049e-01
