f_Hz,ReZ0_ohm,ImZ0_ohm
5.240000000000000000e+08,4.858779669077210883e+01,-2.354633171929958191e-01
5.260000000000000000e+08,4.858695159023764631e+01,-2.359344009904747463e-01
5.280000000000000000e+08,4.858610525249807921e+01,-2.364012231765791061e-01
5.300000000000000000e+08,4.858525769567508235e+01,-2.368637771976996598e-01
5.320000000000000000e+08,4.858440893791372872e+01,-2.373220565782492020e-01
5.340000000000000000e+08,4.858355899738234740e+01,-2.377760549206281993e-01
5.360000000000000000e+08,4.858270789227222508e+01,-2.382257659057272214e-01
5.380000000000000000e+08,4.858185564079754215e+01,-2.386711832927115029e-01
5.400000000000000000e+08,4.858100226119506715e+01,-2.391123009194677240e-01
5.420000000000000000e+08,4.858014777172397203e+01,-2.395491127026282696e-01
5.440000000000000000e+08,4.857929219066560478e+01,-2.399816126377034564e-01
5.460000000000000000e+08,4.857843553632327627e+01,-2.404097947993834306e-01
5.480000000000000000e+08,4.857757782702205418e+01,-2.408336533415198488e-01
5.500000000000000000e+08,4.857671908110844328e+01,-2.412531824974669392e-01
5.520000000000000000e+08,4.857585931695025749e+01,-2.416683765800557715e-01
5.540000000000000000e+08,4.857499855293639968e+01,-2.420792299818904092e-01
5.560000000000000000e+08,4.857413680747639972e+01,-2.424857371754140511e-01
5.580000000000000000e+08,4.857327409900046433e+01,-2.428878927132071541e-01
5.600000000000000000e+08,4.857241044595898671e+01,-2.432856912278476003e-01
5.620000000000000000e+08,4.857154586682244002e+01,-2.436791274324314471e-01
5.640000000000000000e+08,4.857068038008098654e+01,-2.440681961204302364e-01
5.660000000000000000e+08,4.856981400424433559e+01,-2.444528921659999132e-01
5.680000000000000000e+08,4.856894675784138826e+01,-2.448332105240723089e-01
5.700000000000000000e+08,4.856807865941997449e+01,-2.452091462305083513e-01
5.720000000000000000e+08,4.856720972754661148e+01,-2.455806944022328187e-01
5.740000000000000000e+08,4.856633998080617687e+01,-2.459478502374311815e-01
5.760000000000000000e+08,4.856546943780167425e+01,-2.463106090155421646e-01
5.780000000000000000e+08,4.856459811715378549e+01,-2.466689660976308374e-01
5.800000000000000000e+08,4.856372603750087791e+01,-2.470229169263093438e-01
5.820000000000000000e+08,4.856285321749836470e+01,-2.473724570259546451e-01
5.840000000000000000e+08,4.856197967581856290e+01,-2.477175820028706399e-01
5.860000000000000000e+08,4.856110543115047307e+01,-2.480582875454082625e-01
5.880000000000000000e+08,4.856023050219926773e+01,-2.483945694240366209e-01
5.900000000000000000e+08,4.855935490768614216e+01,-2.487264234914816630e-01
5.920000000000000000e+08,4.855847866634781695e+01,-2.490538456828937375e-01
5.940000000000000000e+08,4.855760179693643153e+01,-2.493768320160077712e-01
5.960000000000000000e+08,4.855672431821906798e+01,-2.496953785910661361e-01
5.980000000000000000e+08,4.855584624897742430e+01,-2.500094815911724777e-01
6.000000000000000000e+08,4.855496760800751588e+01,-2.503191372821991223e-01
6.020000000000000000e+08,4.855408841411935583e+01,-2.506243420130807587e-01
6.040000000000000000e+08,4.855320868613659968e+01,-2.509250922157437169e-01
6.060000000000000000e+08,4.855232844289606930e+01,-2.512213844053220457e-01
6.080000000000000000e+08,4.855144770324764636e+01,-2.515132151801771077e-01
6.100000000000000000e+08,4.855056648605373937e+01,-2.518005812221388862e-01
6.120000000000000000e+08,4.854968481018894977e+01,-2.520834792964096183e-01
6.140000000000000000e+08,4.854880269453977348e+01,-2.523619062516814227e-01
6.160000000000000000e+08,4.854792015800418170e+01,-2.526358590204082488e-01
6.180000000000000000e+08,4.854703721949125850e+01,-2.529053346187500884e-01
6.200000000000000000e+08,4.854615389792091662e+01,-2.531703301464840461e-01
6.220000000000000000e+08,4.854527021222336458e+01,-2.534308427873736003e-01
6.240000000000000000e+08,4.854438618133888639e+01,-2.536868698091815366e-01
6.260000000000000000e+08,4.854350182421737259e+01,-2.539384085634697752e-01
6.280000000000000000e+08,4.854261715981795788e+01,-2.541854564860264176e-01
6.300000000000000000e+08,4.854173220710873693e+01,-2.544280110966816166e-01
6.320000000000000000e+08,4.854084698506612483e+01,-2.546660699994421351e-01
6.340000000000000000e+08,4.853996151267479320e+01,-2.548996308825485779e-01
6.360000000000000000e+08,4.853907580892703066e+01,-2.551286915184752813e-01
6.380000000000000000e+08,4.853818989282245155e+01,-2.553532497640169652e-01
6.400000000000000000e+08,4.853730378336761220e+01,-2.555733035603357517e-01
