f_Hz,ReZ0_ohm,ImZ0_ohm
8.460000000000000000e+08,4.844855294942234991e+01,-2.541415596234444796e-01
8.480000000000000000e+08,4.844774975302471631e+01,-2.538978839685855915e-01
8.500000000000000000e+08,4.844694831836365978e+01,-2.536499413070659181e-01
8.520000000000000000e+08,4.844614866300627654e+01,-2.533977378822643289e-01
8.540000000000000000e+08,4.844535080449028897e+01,-2.531412800039918864e-01
8.560000000000000000e+08,4.844455476032381114e+01,-2.528805740482998332e-01
8.580000000000000000e+08,4.844376054798524933e+01,-2.526156264571419729e-01
8.600000000000000000e+08,4.844296818492301782e+01,-2.523464437380928405e-01
8.620000000000000000e+08,4.844217768855556727e+01,-2.520730324642557196e-01
8.640000000000000000e+08,4.844138907627109347e+01,-2.517953992738447555e-01
8.660000000000000000e+08,4.844060236542746622e+01,-2.515135508699731237e-01
8.680000000000000000e+08,4.843981757335209437e+01,-2.512274940204545781e-01
8.700000000000000000e+08,4.843903471734169131e+01,-2.509372355574862601e-01
8.720000000000000000e+08,4.843825381466223234e+01,-2.506427823774329267e-01
8.740000000000000000e+08,4.843747488254885525e+01,-2.503441414406569754e-01
8.760000000000000000e+08,4.843669793820562575e+01,-2.500413197710830704e-01
8.780000000000000000e+08,4.843592299880547358e+01,-2.497343244561141540e-01
8.800000000000000000e+08,4.843515008149013568e+01,-2.494231626464547269e-01
8.820000000000000000e+08,4.843437920336985769e+01,-2.491078415556216008e-01
8.840000000000000000e+08,4.843361038152351483e+01,-2.487883684599278833e-01
8.860000000000000000e+08,4.843284363299833473e+01,-2.484647506982290421e-01
8.880000000000000000e+08,4.843207897480983348e+01,-2.481369956716124037e-01
8.900000000000000000e+08,4.843131642394167358e+01,-2.478051108431911231e-01
8.920000000000000000e+08,4.843055599734567096e+01,-2.474691037379207204e-01
8.940000000000000000e+08,4.842979771194165295e+01,-2.471289819424037359e-01
8.960000000000000000e+08,4.842904158461720954e+01,-2.467847531045345988e-01
8.980000000000000000e+08,4.842828763222791366e+01,-2.464364249334385637e-01
9.000000000000000000e+08,4.842753587159693041e+01,-2.460840051991934896e-01
9.020000000000000000e+08,4.842678631951504542e+01,-2.457275017325954158e-01
9.040000000000000000e+08,4.842603899274062229e+01,-2.453669224250469016e-01
9.060000000000000000e+08,4.842529390799949596e+01,-2.450022752282201288e-01
9.080000000000000000e+08,4.842455108198482350e+01,-2.446335681539356099e-01
9.100000000000000000e+08,4.842381053135713387e+01,-2.442608092740048142e-01
9.120000000000000000e+08,4.842307227274412185e+01,-2.438840067199705974e-01
9.140000000000000000e+08,4.842233632274065513e+01,-2.435031686828990349e-01
9.160000000000000000e+08,4.842160269790859672e+01,-2.431183034132690657e-01
9.180000000000000000e+08,4.842087141477696122e+01,-2.427294192207488932e-01
9.200000000000000000e+08,4.842014248984160929e+01,-2.423365244740283420e-01
9.220000000000000000e+08,4.841941593956529033e+01,-2.419396276005796043e-01
9.240000000000000000e+08,4.841869178037760690e+01,-2.415387370865842986e-01
9.260000000000000000e+08,4.841797002867480870e+01,-2.411338614767640220e-01
9.280000000000000000e+08,4.841725070081992754e+01,-2.407250093740364028e-01
9.300000000000000000e+08,4.841653381314257842e+01,-2.403121894396304803e-01
9.320000000000000000e+08,4.841581938193895951e+01,-2.398954103926941861e-01
9.340000000000000000e+08,4.841510742347174556e+01,-2.394746810102839629e-01
9.360000000000000000e+08,4.841439795397010215e+01,-2.390500101270952027e-01
9.380000000000000000e+08,4.841369098962959328e+01,-2.386214066354655494e-01
9.400000000000000000e+08,4.841298654661211742e+01,-2.381888794850942626e-01
9.420000000000000000e+08,4.841228464104580809e+01,-2.377524376829469877e-01
