f_Hz,ReZ11,ImZ11,ReZ21,ImZ21,ReZ12,ImZ12,ReZ22,ImZ22
9.615000000000000000e+07,5.250344095964084579e-01,-2.235124392804438198e+00,5.209059505896009856e-01,-2.710583152251546224e+00,5.212729380324191419e-01,-2.712101759786122113e+00,5.259677733776987330e-01,-2.193746919407053575e+00
9.688500000000000000e+07,5.174618863253093171e-01,-2.214590141146701274e+00,5.132847774256638074e-01,-2.693946837559498597e+00,5.136391246763193363e-01,-2.695466452529156953e+00,5.184176811099449056e-01,-2.172801110989089679e+00
9.762000000000000000e+07,5.100505669928052654e-01,-2.194290772107719167e+00,5.058255883902535999e-01,-2.677549222620200453e+00,5.061660735953216195e-01,-2.679069963591024894e+00,5.110296901801341107e-01,-2.152090286063823132e+00
9.835500000000000000e+07,5.027953519459236187e-01,-2.174220992583018930e+00,4.985260455930433654e-01,-2.661386813329840173e+00,4.988510527429320107e-01,-2.662908015746981771e+00,5.037979555057718883e-01,-2.131609515869773208e+00
9.909000000000000000e+07,4.956920320446989159e-01,-2.154375365357990457e+00,4.913828299266061461e-01,-2.645457597168539010e+00,4.916909296998749346e-01,-2.646977630915094082e+00,4.967173643057120613e-01,-2.111353254018601078e+00
9.982500000000000000e+07,4.887372731396339987e-01,-2.134748871477565757e+00,4.843909696043514623e-01,-2.629759939885982334e+00,4.846815033533177774e-01,-2.631276448560403214e+00,4.897838515155392147e-01,-2.091315891179554853e+00
1.005600000000000000e+08,4.819282216755605974e-01,-2.115337328271443607e+00,4.775440678087724544e-01,-2.614291308291264659e+00,4.778174556815604768e-01,-2.615801774764027865e+00,4.829942659324534260e-01,-2.071492381244170122e+00
1.012950000000000000e+08,4.752619213082246441e-01,-2.096137444296432673e+00,4.708353218367191673e-01,-2.599047460371991303e+00,4.710929464928027555e-01,-2.600549841576898391e+00,4.763458530374340416e-01,-2.051878622912349126e+00
1.020300000000000000e+08,4.687348298329219176e-01,-2.077146473190253140e+00,4.642588268219231540e-01,-2.584022512397438742e+00,4.645025499393974355e-01,-2.585515650839120383e+00,4.698356135712142279e-01,-2.032471403852380565e+00
1.027650000000000000e+08,4.623426800540405557e-01,-2.058361630915227281e+00,4.578105115291276062e-01,-2.569209853696475587e+00,4.580420589626204575e-01,-2.570693482786801987e+00,4.634598598336019948e-01,-2.013267935036599177e+00
1.035000000000000000e+08,4.560807587921596462e-01,-2.039779563027034559e+00,4.514882361278214074e-01,-2.554603453909736199e+00,4.517087494322885588e-01,-2.556077815185889168e+00,4.572141924639339106e-01,-1.994265209732675848e+00
1.042350000000000000e+08,4.499444690970086369e-01,-2.021396127783150920e+00,4.452910014906210079e-01,-2.540198909310409814e+00,4.455009667978262478e-01,-2.541664191649197324e+00,4.510939087912865242e-01,-1.975459510752729742e+00
1.049700000000000000e+08,4.439298969460953037e-01,-2.003206605934649165e+00,4.392176658084355201e-01,-2.525993704851286825e+00,4.394172384516255025e-01,-2.527449602424336916e+00,4.450946360637798027e-01,-1.956846315797388547e+00
1.057050000000000000e+08,4.380340984768540391e-01,-1.985206235526567609e+00,4.332658124708882452e-01,-2.511986562427277025e+00,4.334553536876817881e-01,-2.513432185108122052e+00,4.392128686357620881e-01,-1.938420650832890946e+00
1.064400000000000000e+08,4.322549612476627168e-01,-1.967390806408441328e+00,4.274313376248667362e-01,-2.498176205827663754e+00,4.276118700820699114e-01,-2.499610393940935538e+00,4.334461353133252648e-01,-1.920177715738844659e+00
1.071750000000000000e+08,4.265907053828585926e-01,-1.949757017321535280e+00,4.217089637148779824e-01,-2.484560167419501475e+00,4.218822916232433107e-01,-2.485982053219034871e+00,4.277927082658548597e-01,-1.902113468542813157e+00
1.079100000000000000e+08,4.210392715219307691e-01,-1.932302415678315732e+00,4.160934182801191428e-01,-2.471134241826285383e+00,4.162618270451904356e-01,-2.472543768815146148e+00,4.222509953678268979e-01,-1.884224874120054016e+00
1.086450000000000000e+08,4.155979007967862127e-01,-1.915024948805202909e+00,4.105806804276014299e-01,-2.457892866784861408e+00,4.107463456701982429e-01,-2.459290992321789826e+00,4.168189176711547539e-01,-1.866509690916741127e+00
1.093800000000000000e+08,4.102631171474052096e-01,-1.897922351184975653e+00,4.051686609278379869e-01,-2.444830243924867030e+00,4.053330488710925605e-01,-2.446218704920703590e+00,4.114935822667476484e-01,-1.848965901121431221e+00
1.101150000000000000e+08,4.050311206509217832e-01,-1.880991676341190688e+00,3.998569651296497440e-01,-2.431941637625144370e+00,4.000205179010747347e-01,-2.433322377054425001e+00,4.062714133058049071e-01,-1.831591069297183072e+00
1.108500000000000000e+08,3.998983929170136231e-01,-1.864229211069051040e+00,3.946458491158356674e-01,-2.419224197516588237e+00,3.948081117833158182e-01,-2.420598721477783322e+00,4.011486741343029960e-01,-1.814381951300708229e+00
1.115850000000000000e+08,3.948622066814380105e-01,-1.847630818137965480e+00,3.895348868072052717e-01,-2.406676887252897412e+00,3.896950151495766623e-01,-2.408045860860881682e+00,3.961221166833627239e-01,-1.797334550414842802e+00
1.123200000000000000e+08,3.899207773928289322e-01,-1.831192536954330041e+00,3.845220135707287379e-01,-2.394299550500076368e+00,3.846794116266816776e-01,-2.395662824835224747e+00,3.911894295153782175e-01,-1.780444593338810444e+00
1.130550000000000000e+08,3.850729732530299154e-01,-1.814911139117569405e+00,3.796034248758168306e-01,-2.382091579449554519e+00,3.797581953774631369e-01,-2.383448627790741181e+00,3.863492561786551205e-01,-1.763708187499003932e+00
1.137900000000000000e+08,3.803177229273744797e-01,-1.798784355095121468e+00,3.747743797801884047e-01,-2.370050852565665167e+00,3.749273633339457734e-01,-2.371401388956473788e+00,3.816007708256218267e-01,-1.747122329265220708e+00
1.145250000000000000e+08,3.756534149481939866e-01,-1.782810651181529593e+00,3.700305037923462548e-01,-2.358173474440793171e+00,3.701828891222778140e-01,-2.359517934797556116e+00,3.769430204734782186e-01,-1.730685006583853047e+00
1.152600000000000000e+08,3.710775908259206224e-01,-1.766988661716733855e+00,3.653689332966640335e-01,-2.346454447887911687e+00,3.655216381684606719e-01,-2.347794081364498631e+00,3.723743610457407316e-01,-1.714394842525581275e+00
1.159950000000000000e+08,3.665870894769036603e-01,-1.751316556903967703e+00,3.607887220989763888e-01,-2.334888938844811523e+00,3.609418632487388368e-01,-2.336225452697224814e+00,3.678922679882247748e-01,-1.698250456568074718e+00
1.167300000000000000e+08,3.621785750208894039e-01,-1.735791662470767438e+00,3.562903013501117488e-01,-2.323473494744598522e+00,3.564430309273038389e-01,-2.324808422254577511e+00,3.634936147255348748e-01,-1.682249862384377348e+00
1.174650000000000000e+08,3.578491861948931430e-01,-1.720410524270552743e+00,3.518742612586513441e-01,-2.312206598474578545e+00,3.520250658074799976e-01,-2.313540702778774882e+00,3.591752774695261552e-01,-1.666390202933770714e+00
1.182000000000000000e+08,3.535969816206076533e-01,-1.705169389140352765e+00,3.475400664387620631e-01,-2.301088273188629518e+00,3.476873922749788570e-01,-2.302421286928437283e+00,3.549347608301418600e-01,-1.650667954441499718e+00
1.189350000000000000e+08,3.494209545590321597e-01,-1.690064863667962269e+00,3.432853528333747462e-01,-2.290118931207369535e+00,3.434282553491568857e-01,-2.291449767548439098e+00,3.507705279641821772e-01,-1.635079495161190888e+00
