k,t_real_s,y1,u1_aplicado,dy1,du1_aplicado
1437,7.185,2.547,6.094,0.07000000000000028,-43.906
1438,7.19,2.473,14.639,-0.0040000000000000036,-35.361000000000004
1439,7.195,2.408,14.463,-0.06899999999999995,-35.537
1440,7.2,2.412,93.125,-0.06499999999999995,43.125
1441,7.205,2.502,93.34,0.02499999999999991,43.34
1442,7.21,2.579,58.525,0.10200000000000031,8.524999999999999
1443,7.215,2.628,6.27,0.15100000000000025,-43.730000000000004
1444,7.22,2.534,6.055,0.05699999999999994,-43.945
1445,7.225,2.523,67.139,0.04600000000000026,17.138999999999996
1446,7.23,2.518,93.418,0.040999999999999925,43.418000000000006
1447,7.235,2.609,93.594,0.13200000000000012,43.593999999999994
1448,7.24,2.68,50.146,0.2030000000000003,0.1460000000000008
1449,7.245,2.712,58.926,0.23500000000000032,8.926000000000002
1450,7.25,2.723,93.906,0.246,43.906000000000006
1451,7.255,2.788,94.102,0.31099999999999994,44.102000000000004
1452,7.26,2.852,6.855,0.375,-43.144999999999996
1453,7.265,2.762,6.65,0.28500000000000014,-43.35
1454,7.27,2.683,23.857,0.20599999999999996,-26.143
1455,7.275,2.676,41.387,0.1990000000000003,-8.613
1456,7.28,2.7,93.867,0.2230000000000003,43.867000000000004
1457,7.285,2.678,23.926,0.20100000000000007,-26.074
1458,7.29,2.644,6.377,0.16700000000000026,-43.623
1459,7.295,2.631,93.682,0.15399999999999991,43.682
1460,7.3,2.697,93.848,0.2200000000000002,43.848
1461,7.305,2.77,6.66,0.29300000000000015,-43.34
1462,7.31,2.677,6.396,0.20000000000000018,-43.604
1463,7.315,2.635,49.941,0.15799999999999992,-0.0589999999999975
1464,7.32,2.646,6.357,0.16900000000000004,-43.643
1465,7.325,2.569,93.506,0.09200000000000008,43.506
1466,7.33,2.567,93.486,0.0900000000000003,43.486000000000004
1467,7.335,2.636,32.529,0.15900000000000025,-17.470999999999997
1468,7.34,2.648,6.357,0.17100000000000026,-43.643
1469,7.345,2.559,6.113,0.0820000000000003,-43.887
1470,7.35,2.481,84.531,0.0040000000000000036,34.531000000000006
1471,7.355,2.517,6.035,0.040000000000000036,-43.965
1472,7.36,2.438,84.395,-0.0389999999999997,34.394999999999996
1473,7.365,2.486,5.967,0.009000000000000341,-44.033
1474,7.371,2.413,5.723,-0.06400000000000006,-44.277
1475,7.375,2.348,92.871,-0.129,42.870999999999995
1476,7.38,2.424,93.096,-0.052999999999999936,43.096000000000004
1477,7.385,2.502,93.32,0.02499999999999991,43.31999999999999
1478,7.39,2.559,6.113,0.0820000000000003,-43.887
1479,7.395,2.466,5.879,-0.010999999999999677,-44.121
1480,7.4,2.511,58.408,0.03400000000000025,8.408000000000001
1481,7.405,2.509,6.045,0.03200000000000003,-43.955
1482,7.41,2.443,5.791,-0.03399999999999981,-44.209
1483,7.415,2.374,92.998,-0.10299999999999976,42.998000000000005
1484,7.42,2.459,5.898,-0.017999999999999794,-44.102000000000004
1485,7.425,2.378,40.986,-0.09899999999999975,-9.014000000000003
1486,7.43,2.368,92.959,-0.10899999999999999,42.959
1487,7.435,2.455,93.203,-0.021999999999999797,43.203
1488,7.44,2.538,6.094,0.06099999999999994,-43.906
1489,7.445,2.453,93.203,-0.02400000000000002,43.203
1490,7.45,2.431,5.82,-0.04599999999999982,-44.18
1491,7.456,2.353,92.92,-0.12399999999999967,42.92
1492,7.46,2.42,5.801,-0.05699999999999994,-44.199
1493,7.465,2.345,5.576,-0.13199999999999967,-44.424
1494,7.47,2.306,92.754,-0.17099999999999982,42.754000000000005
1495,7.475,2.385,93.008,-0.09200000000000008,43.007999999999996
1496,7.48,2.465,40.791,-0.01200000000000001,-9.209000000000003
1497,7.485,2.47,5.908,-0.006999999999999673,-44.092
1498,7.49,2.396,93.027,-0.08099999999999996,43.027
1499,7.495,2.475,5.898,-0.0019999999999997797,-44.102000000000004
1500,7.5,2.41,40.703,-0.06699999999999973,-9.296999999999997
1501,7.505,2.413,5.713,-0.06400000000000006,-44.287
1502,7.51,2.32,92.861,-0.15700000000000003,42.861000000000004
1503,7.515,2.409,5.752,-0.06800000000000006,-44.248
1504,7.52,2.328,5.547,-0.14900000000000002,-44.453
1505,7.525,2.288,5.459,-0.18900000000000006,-44.541
1506,7.53,2.207,22.637,-0.27,-27.363
1507,7.535,2.248,5.322,-0.22899999999999965,-44.678
1508,7.541,2.172,57.51,-0.3049999999999997,7.509999999999998
1509,7.545,2.208,5.273,-0.2689999999999997,-44.727000000000004
1510,7.55,2.138,5.078,-0.33899999999999997,-44.922
1511,7.555,2.075,31.104,-0.4019999999999997,-18.896
1512,7.56,2.037,39.687,-0.43999999999999995,-10.313000000000002
1513,7.565,2.085,92.148,-0.3919999999999999,42.147999999999996
1514,7.57,2.174,92.393,-0.30299999999999994,42.393
1515,7.575,2.266,49.004,-0.21099999999999985,-0.9960000000000022
1516,7.58,2.287,5.459,-0.18999999999999995,-44.541
1517,7.585,2.229,5.273,-0.24799999999999978,-44.727000000000004
1518,7.59,2.152,22.529,-0.32499999999999973,-27.471
1519,7.595,2.157,74.912,-0.31999999999999984,24.912000000000006
1520,7.6,2.2,5.244,-0.2769999999999997,-44.756
1521,7.605,2.133,5.049,-0.34399999999999986,-44.951
1522,7.61,2.061,4.834,-0.4159999999999999,-45.166
1523,7.615,1.999,83.232,-0.47799999999999976,33.232
1524,7.62,2.006,4.727,-0.4710000000000001,-45.272999999999996
1525,7.625,1.955,91.787,-0.5219999999999998,41.787000000000006
1526,7.63,2.028,13.535,-0.44899999999999984,-36.465
1527,7.635,2.018,65.811,-0.4590000000000001,15.811000000000007
1528,7.64,2.095,92.188,-0.3819999999999997,42.188
1529,7.645,2.17,48.76,-0.30699999999999994,-1.240000000000002
1530,7.65,2.178,66.27,-0.29899999999999993,16.269999999999996
1531,7.655,2.185,57.529,-0.2919999999999998,7.5290000000000035
1532,7.66,2.208,75.098,-0.2689999999999997,25.098
